[2020/08/29 17:27:53] - {'architecture': 'resnet18', 'data_path': '~/.fastai/data', 'ckpt_path': './', 'ckpt_name': 'resnet18_ffx_8', 'mean': [0.4914, 0.4822, 0.4465], 'std': [0.2471, 0.2435, 0.2616], 'epochs': 200, 'batch_size': 128, 'eval_freq': 100, 'workers': 2, 'lr_max': 0.2, 'lr_min': 0.0, 'momentum': 0.9, 'weight_decay': 0.0005, 'opt_level': 'O1', 'loss_scale': 1.0, 'master_weights': False, 'lr_schedule': 'cyclic', 'defense': 'FFX', 'block_size': 8, 'height': 32, 'width': 32, 'password': 'password', 'work_path': 'experiments/resnet18_ffx_8/', 'seed': 42}
[2020/08/29 17:27:56] - Epoch 	 Seconds 	 LR 	 	 Train Loss 	 Train Acc
[2020/08/29 17:59:15] - 168 	 11.1 	 	 0.0640 	 0.3386 	 0.8832
[2020/08/29 17:59:27] - 169 	 11.2 	 	 0.0620 	 0.3364 	 0.8830
[2020/08/29 17:59:38] - 170 	 11.1 	 	 0.0600 	 0.3309 	 0.8839
[2020/08/29 17:59:49] - 171 	 11.1 	 	 0.0580 	 0.3226 	 0.8877
[2020/08/29 18:00:00] - 172 	 11.1 	 	 0.0560 	 0.3166 	 0.8897
[2020/08/29 18:00:11] - 173 	 11.1 	 	 0.0540 	 0.3072 	 0.8934
[2020/08/29 18:00:22] - 174 	 11.1 	 	 0.0520 	 0.3092 	 0.8922
[2020/08/29 18:00:33] - 175 	 11.2 	 	 0.0500 	 0.2936 	 0.8984
[2020/08/29 18:00:45] - 176 	 11.1 	 	 0.0480 	 0.2867 	 0.9010
[2020/08/29 18:00:56] - 177 	 11.1 	 	 0.0460 	 0.2782 	 0.9038
[2020/08/29 18:01:07] - 178 	 11.2 	 	 0.0440 	 0.2684 	 0.9055
[2020/08/29 18:01:18] - 179 	 11.1 	 	 0.0420 	 0.2630 	 0.9077
[2020/08/29 18:01:29] - 180 	 11.2 	 	 0.0400 	 0.2544 	 0.9115
[2020/08/29 18:01:40] - 181 	 11.1 	 	 0.0380 	 0.2423 	 0.9162
[2020/08/29 18:01:51] - 182 	 11.2 	 	 0.0360 	 0.2355 	 0.9178
[2020/08/29 18:02:03] - 183 	 11.2 	 	 0.0340 	 0.2221 	 0.9223
[2020/08/29 18:02:14] - 184 	 11.1 	 	 0.0320 	 0.2080 	 0.9288
[2020/08/29 18:02:25] - 185 	 11.2 	 	 0.0300 	 0.2007 	 0.9303
[2020/08/29 18:02:36] - 186 	 11.2 	 	 0.0280 	 0.1988 	 0.9301
[2020/08/29 18:02:47] - 187 	 11.1 	 	 0.0260 	 0.1743 	 0.9397
[2020/08/29 18:02:58] - 188 	 11.1 	 	 0.0240 	 0.1656 	 0.9429
[2020/08/29 18:03:10] - 189 	 11.1 	 	 0.0220 	 0.1508 	 0.9474
[2020/08/29 18:03:21] - 190 	 11.1 	 	 0.0200 	 0.1334 	 0.9549
[2020/08/29 18:03:32] - 191 	 11.1 	 	 0.0180 	 0.1136 	 0.9610
[2020/08/29 18:03:43] - 192 	 11.2 	 	 0.0160 	 0.1045 	 0.9641
[2020/08/29 18:03:54] - 193 	 11.1 	 	 0.0140 	 0.0880 	 0.9701
[2020/08/29 18:04:05] - 194 	 11.2 	 	 0.0120 	 0.0730 	 0.9766
[2020/08/29 18:04:16] - 195 	 11.1 	 	 0.0100 	 0.0577 	 0.9813
[2020/08/29 18:04:27] - 196 	 11.1 	 	 0.0080 	 0.0409 	 0.9873
[2020/08/29 18:04:39] - 197 	 11.1 	 	 0.0060 	 0.0298 	 0.9913
[2020/08/29 18:04:50] - 198 	 11.1 	 	 0.0040 	 0.0212 	 0.9941
[2020/08/29 18:05:01] - 199 	 11.2 	 	 0.0020 	 0.0168 	 0.9956
[2020/08/29 18:05:12] - 200 	 11.2 	 	 0.0000 	 0.0129 	 0.9973
[2020/08/29 18:05:13] - == Test loss: 0.2877, Test acc: 0.9199
[2020/08/29 18:05:15] - == Training Finished. best_test_acc: 0.9199 ==
[2020/08/29 18:05:15] - == Total training time: 37.3117 minutes ==
