[2020/09/15 14:31:27] - {'architecture': 'resnet18', 'data_path': '~/.fastai/data', 'ckpt_path': './', 'ckpt_name': 'resnet18_np_4_0', 'mean': [0.4914, 0.4822, 0.4465], 'std': [0.2471, 0.2435, 0.2616], 'epochs': 200, 'batch_size': 128, 'eval_freq': 100, 'workers': 2, 'lr_max': 0.2, 'lr_min': 0.0, 'momentum': 0.9, 'weight_decay': 0.0005, 'opt_level': 'O1', 'loss_scale': 1.0, 'master_weights': False, 'lr_schedule': 'cyclic', 'defense': 'NP', 'block_size': 4, 'height': 32, 'width': 32, 'password': 'password', 'work_path': 'experiments/resnet18_np_4_0/', 'seed': 0}
[2020/09/15 14:31:30] - Epoch 	 Seconds 	 LR 	 	 Train Loss 	 Train Acc
[2020/09/15 15:02:52] - 169 	 11.1 	 	 0.0620 	 0.2285 	 0.9217
[2020/09/15 15:03:03] - 170 	 11.1 	 	 0.0600 	 0.2215 	 0.9229
[2020/09/15 15:03:14] - 171 	 11.1 	 	 0.0580 	 0.2214 	 0.9237
[2020/09/15 15:03:25] - 172 	 11.1 	 	 0.0560 	 0.2110 	 0.9263
[2020/09/15 15:03:37] - 173 	 11.1 	 	 0.0540 	 0.2096 	 0.9281
[2020/09/15 15:03:48] - 174 	 11.1 	 	 0.0520 	 0.2029 	 0.9304
[2020/09/15 15:03:59] - 175 	 11.1 	 	 0.0500 	 0.1968 	 0.9316
[2020/09/15 15:04:10] - 176 	 11.1 	 	 0.0480 	 0.1904 	 0.9340
[2020/09/15 15:04:21] - 177 	 11.1 	 	 0.0460 	 0.1848 	 0.9365
[2020/09/15 15:04:32] - 178 	 11.1 	 	 0.0440 	 0.1757 	 0.9398
[2020/09/15 15:04:43] - 179 	 11.1 	 	 0.0420 	 0.1705 	 0.9422
[2020/09/15 15:04:54] - 180 	 11.1 	 	 0.0400 	 0.1668 	 0.9431
[2020/09/15 15:05:05] - 181 	 11.1 	 	 0.0380 	 0.1659 	 0.9417
[2020/09/15 15:05:16] - 182 	 11.1 	 	 0.0360 	 0.1526 	 0.9470
[2020/09/15 15:05:28] - 183 	 11.1 	 	 0.0340 	 0.1433 	 0.9505
[2020/09/15 15:05:39] - 184 	 11.1 	 	 0.0320 	 0.1421 	 0.9516
[2020/09/15 15:05:50] - 185 	 11.1 	 	 0.0300 	 0.1250 	 0.9566
[2020/09/15 15:06:01] - 186 	 11.1 	 	 0.0280 	 0.1186 	 0.9585
[2020/09/15 15:06:12] - 187 	 11.1 	 	 0.0260 	 0.1091 	 0.9636
[2020/09/15 15:06:23] - 188 	 11.1 	 	 0.0240 	 0.1047 	 0.9641
[2020/09/15 15:06:34] - 189 	 11.1 	 	 0.0220 	 0.0922 	 0.9691
[2020/09/15 15:06:45] - 190 	 11.1 	 	 0.0200 	 0.0861 	 0.9705
[2020/09/15 15:06:56] - 191 	 11.1 	 	 0.0180 	 0.0751 	 0.9744
